bedrooms,bathrooms,land_size_p,floor_area_sqft,storeys,district_enc,district_tier,colombo_premium,property_type_enc,negotiable,has_parking,has_pool,has_garden,has_furnished,has_ac,has_security,has_water,has_highway,has_generator,has_solar,log_price,price_lkr
4.0,3.0,8.0,3500.0,2.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18.17221939747438,78000000.0
7.0,4.0,13.75,4200.0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17.77632374660947,52500000.0
4.0,4.0,15.0,2600.0,2.0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,18.757152987716434,140000000.0
2.0,1.0,10.0,1100.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,16.575520561288332,15800000.0
3.0,2.0,7.5,1556.0,2.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,16.929025911619092,22500000.0
2.0,2.0,3.85,1050.0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17.76675429577647,52000000.0
4.0,3.0,10.0,3500.0,2.0,12,3,0,0,1,0,0,1,0,0,0,1,1,0,0,17.529082649058825,41000000.0
4.0,4.0,8.0,3415.0,2.0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17.95067713070663,62500000.0
3.0,2.0,8.0,3200.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,1,0,0,17.32705602664604,33500000.0
7.0,6.0,20.0,7043.5,2.0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,19.11382792951231,200000000.0
4.0,4.0,9.0,3452.0,2.0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17.6762402900575,47500000.0
4.0,4.0,6.5,2745.0,2.0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17.57671069691365,43000000.0
3.0,1.0,10.0,1500.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.906553056777135,22000000.0
3.0,1.0,18.5,1500.0,2.0,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,16.588099342704055,16000000.0
3.0,3.0,6.5,1875.0,2.0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17.356469910987094,34500000.0
3.0,2.0,6.0,1150.0,1.0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,16.993564429978885,24000000.0
5.0,2.0,15.0,2700.0,2.0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.147715103853763,28000000.0
4.0,4.0,8.0,3200.0,3.0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,17.95067713070663,62500000.0
3.0,3.0,6.0,1230.0,2.0,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,16.951004817371683,23000000.0
3.0,2.0,6.0,1200.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,16.993564429978885,24000000.0
3.0,2.0,9.6,1200.0,2.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,18.064005814299346,70000000.0
4.0,3.0,7.0,3400.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.565014657424058,42500000.0
4.0,2.0,10.0,1273.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.951004817371683,23000000.0
3.0,2.0,9.9,1350.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.05418904934434,25500000.0
3.0,2.0,8.0,1250.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.860033043306743,21000000.0
4.0,2.0,10.0,2500.0,2.0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,17.1654146803266,28500000.0
3.0,1.0,12.0,1200.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,16.41820031748273,13500000.0
4.0,3.0,10.0,5000.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,17.216707972959764,30000000.0
4.0,4.0,8.0,3200.0,3.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,18.17221939747438,78000000.0
5.0,3.0,7.5,2400.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.296750678069195,32500000.0
3.0,1.0,6.2,1600.0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,17.287477041570536,32200000.0
3.0,3.0,3.0,1500.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.216707972959764,30000000.0
3.0,2.0,21.15,6000.0,2.0,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,17.989897843244528,65000000.0
4.0,4.0,6.0,2000.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.19990085520835,29500000.0
3.0,2.0,6.0,120.0,2.0,5,2,0,0,1,0,0,0,0,0,1,0,1,0,0,16.380459992348886,13000000.0
5.0,1.0,39.0,7043.5,2.0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,17.50439003707821,40000000.0
5.0,3.0,23.0,4500.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,17.216707972959764,30000000.0
4.0,4.0,4.39,1600.0,2.0,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,17.147715103853763,28000000.0
4.0,4.0,45.0,7000.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,18.8906843794481,160000000.0
3.0,3.0,6.0,1361.25,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.281246492014,32000000.0
5.0,3.0,9.0,3000.0,2.0,3,1,1,0,1,1,0,1,1,0,0,0,0,0,0,18.292847383806116,88000000.0
6.0,3.0,9.5,2140.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.296750678069195,32500000.0
5.0,4.0,10.0,2700.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.747336210296442,51000000.0
3.0,2.0,9.0,1905.75,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.249497794707484,31000000.0
3.0,3.0,7.0,1900.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,16.929025911619092,22500000.0
4.0,2.0,14.7,2500.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,17.034386422832473,25000000.0
5.0,4.0,20.0,5000.0,3.0,3,1,0,0,0,1,1,1,0,1,1,0,0,0,0,19.20913810886209,220000000.0
4.0,3.0,7.0,3500.0,2.0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,17.439851517607305,37500000.0
2.0,1.0,8.2,1000.0,2.0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.607270193858982,6000000.0
4.0,4.0,67.0,4000.0,2.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,18.197537205138154,80000000.0
4.0,2.0,3.0,900.0,2.0,8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,16.759949589762293,19000000.0
3.0,2.0,14.0,3500.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.5202219246906,14950000.0
4.0,2.0,15.1,4500.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.479072229734946,39000000.0
4.0,3.0,7.0,3400.0,2.0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,18.042344317830995,68500000.0
3.0,1.0,10.0,2700.0,2.0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.894952224644102,8000000.0
3.0,2.0,12.65,1632.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.951004817371683,23000000.0
3.0,2.0,6.0,1780.0,2.0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,18.258161826219297,85000000.0
4.0,4.0,6.4,3000.0,2.0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,18.042344317830995,68500000.0
1.0,2.0,8.5,750.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,16.380459992348886,13000000.0
4.0,3.0,6.0,1634.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.19990085520835,29500000.0
4.0,4.0,45.0,7000.0,2.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,19.035866388448003,185000000.0
4.0,3.0,6.0,2850.0,3.0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,17.65496289206296,46500000.0
3.0,1.0,6.0,1400.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,16.440179222591198,13800000.0
7.0,6.0,14.5,4500.0,2.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18.197537205138154,80000000.0
4.0,2.0,11.0,3500.0,2.0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,17.50439003707821,40000000.0
4.0,4.0,9.0,2600.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.6867115897055,48000000.0
4.0,4.0,9.0,2507.0,2.0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,18.064005814299346,70000000.0
2.0,1.0,6.5,1350.0,2.0,3,1,0,0,1,1,0,1,0,0,1,0,1,0,0,16.97251102166758,23500000.0
5.0,3.0,11.3,3100.0,3.0,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,17.622173069956816,45000000.0
5.0,4.0,7.0,2721.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.370858648025116,35000000.0
4.0,1.0,15.0,1400.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,16.257857680289998,11500000.0
